id,task,status
1,"- [x] 代码审计结果整理为 refactor spec 并确认输出 JSON 兼容清单",done
2,"- [x] 建立 src/daydayarxiv 包结构与 __main__/cli 入口",done
3,"- [x] 迁移并整理 prompts 到 src/daydayarxiv/prompts",done
4,"- [x] 实现 settings 配置体系与 TOML 示例文件",done
5,"- [x] 实现 models 与输出 schema 校验逻辑",done
6,"- [x] 实现 storage 原子写入与状态恢复",done
7,"- [x] 实现 arXiv 获取模块并提供可测试接口",done
8,"- [x] 实现 LLM 客户端 含 Langfuse 集成 重试 退避 限流 回退",done
9,"- [x] 实现 pipeline 并发处理与失败即退出策略",done
10,"- [x] 保留 fetch_arxiv.py 兼容入口并指向新实现",done
11,"- [x] 更新 GitHub Actions 到新的配置与失败阻断逻辑",done
12,"- [x] 更新 README Quickstart 配置说明 故障排查",done
13,"- [x] 补齐 pytest 单元与集成测试 覆盖率 100%",done
14,"- [x] 配置 ruff 与 pyright strict 并清理类型问题",done
15,"- [x] 运行 ruff pyright pytest 并修复问题",done
16,"- [x] 代码审查 关注输出兼容与错误处理",done
17,"- [x] 完成 criteria 验收检查并更新 todo 状态",done
18,"- [x] 分批提交 commit 使用 conventional commit",done
19,"- [x] 清理未使用的兼容文件与旧目录",done
